Array Size: 2000000,
Cutoff,Cutoff/arraySize,1 Thread(s),2 Thread(s),4 Thread(s),8 Thread(s),16 Thread(s),32 Thread(s),64 Thread(s),
2240000,0.28,769,659,489,381,372,378,387,
2320000,0.29,649,640,510,371,380,376,379,
2400000,0.3,653,667,531,395,385,424,371,
2480000,0.31,770,678,524,373,378,420,394,
2560000,0.32,686,648,500,376,398,382,377,
2640000,0.33,648,659,508,429,378,400,379,
2720000,0.34,660,653,510,393,377,381,442,
2800000,0.35,743,659,504,394,407,375,404,
2880000,0.36,763,646,483,381,379,388,381,
2960000,0.37,748,672,495,375,402,384,405,
3040000,0.38,650,671,526,400,419,378,385,
3120000,0.39,664,636,484,381,379,411,368,
3200000,0.4,685,636,524,377,374,406,399,
3280000,0.41,649,671,531,398,392,405,377,
3360000,0.42,758,640,524,378,382,396,378,
3440000,0.43,651,661,524,390,379,370,406,
3520000,0.44,767,637,489,378,395,378,376,
3600000,0.45,749,646,509,379,373,400,378,
3680000,0.46,778,680,510,399,400,375,398,
3760000,0.47,774,644,506,409,411,397,385,
3840000,0.48,648,649,531,397,394,384,399,
3920000,0.49,757,660,521,395,403,370,449,
4000000,0.5,771,632,502,379,379,389,406,

Array Size: 10000000,
Cutoff,Cutoff/arraySize,1 Thread(s),2 Thread(s),4 Thread(s),8 Thread(s),16 Thread(s),32 Thread(s),64 Thread(s),
100000,0.01,1024,1014,1090,1080,1123,1000,888,
200000,0.02,1038,937,988,917,924,936,712,
300000,0.03,931,1015,1075,975,905,882,773,
400000,0.04,1064,967,885,953,845,668,714,
500000,0.05,1010,925,894,862,847,665,659,
600000,0.06,888,951,979,916,858,662,647,
700000,0.07,892,1023,855,847,664,562,583,
800000,0.08,1049,986,912,800,666,562,568,
900000,0.09,918,1020,974,832,724,580,568,
1000000,0.1,1010,952,977,863,674,598,559,
1100000,0.11,936,954,941,928,644,623,561,
1200000,0.12,1076,830,905,870,641,604,556,
1300000,0.13,887,900,878,673,521,539,578,
1400000,0.14,966,845,952,669,580,519,602,
1500000,0.15,915,948,893,670,563,520,565,
1600000,0.16,956,977,892,735,519,546,528,
1700000,0.17,961,881,887,688,514,581,512,
1800000,0.18,916,943,904,672,516,551,506,
1900000,0.19,1009,910,974,675,509,499,549,
2000000,0.2,994,893,999,667,504,532,579,
2100000,0.21,981,885,901,669,514,518,588,
2200000,0.22,1016,905,975,667,515,525,544,
2300000,0.23,941,916,906,667,512,518,517,
2400000,0.24,1084,839,901,678,517,515,514,
2500000,0.25,939,894,904,686,517,508,512,
2600000,0.26,830,849,629,518,506,478,491,
2700000,0.27,1002,831,661,509,525,510,475,
2800000,0.28,822,801,629,486,472,503,495,
2900000,0.29,971,822,631,476,495,547,482,
3000000,0.3,839,880,628,494,477,503,492,
3100000,0.31,873,810,611,475,489,500,503,
3200000,0.32,964,827,653,557,497,484,510,
3300000,0.33,840,807,630,500,551,506,531,
3400000,0.34,835,817,660,505,476,480,474,
3500000,0.35,861,800,680,473,490,530,497,
3600000,0.36,890,818,667,507,493,526,477,
3700000,0.37,825,797,609,477,472,503,495,
3800000,0.38,968,898,652,487,496,480,483,
3900000,0.39,823,811,635,476,468,497,532,
4000000,0.4,959,825,683,490,496,505,520,
4100000,0.41,821,809,656,481,465,506,519,
4200000,0.42,827,888,634,500,505,495,477,
4300000,0.43,993,809,642,474,482,474,506,
4400000,0.44,963,828,652,512,498,493,474,
4500000,0.45,823,809,640,517,506,469,490,
4600000,0.46,867,817,651,551,530,490,468,
4700000,0.47,995,811,652,480,467,503,492,
4800000,0.48,836,813,645,486,503,552,470,
4900000,0.49,879,814,666,493,479,509,493,
5000000,0.5,807,839,665,491,501,498,483,

